iter	Logloss
0	0.6174542258
1	0.5631749673
2	0.5159968297
3	0.4751363816
4	0.43983476
5	0.4027418006
6	0.3759347248
7	0.3492042183
8	0.3313724504
9	0.3159986971
10	0.3027449515
11	0.2870883873
12	0.274903115
13	0.2683827369
14	0.2614613612
15	0.2584562887
16	0.2550310211
17	0.2472741027
18	0.2429323988
19	0.2406594177
20	0.2378142044
21	0.2362638122
22	0.2331875137
23	0.2300604121
24	0.2265761062
25	0.2243027119
26	0.2219201787
27	0.2193105677
28	0.2183031296
29	0.2171645182
30	0.2170250683
31	0.2158371412
32	0.2157275341
33	0.2152530656
34	0.2145350763
35	0.2141111216
36	0.2137367028
37	0.212723343
38	0.2117100519
39	0.2116485623
40	0.2106203155
41	0.2095840812
42	0.2088607898
43	0.2086868837
44	0.208014712
45	0.2078225174
46	0.2078013919
47	0.2074055999
48	0.207235839
49	0.2067701154
50	0.2066189873
51	0.2066013873
52	0.2065442357
53	0.2064148252
54	0.2063368512
55	0.2059976323
56	0.2056339278
57	0.2053098575
58	0.2052648524
59	0.2051779131
60	0.2049030896
61	0.2048035081
62	0.2047399665
63	0.2045975558
64	0.2044778955
65	0.2044130318
66	0.2043367379
67	0.2042174632
68	0.2041064651
69	0.2040328842
70	0.2040015265
71	0.2038874161
72	0.2036973698
73	0.2036209657
74	0.2036175091
75	0.2035939186
76	0.2035382405
77	0.2034872585
78	0.2034703058
79	0.2034009389
80	0.2033542674
81	0.2033410468
82	0.2033245624
83	0.2032618609
84	0.2032483097
85	0.2031428341
86	0.2030887535
87	0.2030788105
88	0.2030657276
89	0.2029519339
90	0.2029145168
91	0.2028799505
92	0.2028353309
93	0.2028033673
94	0.202787957
95	0.2027627277
96	0.2027286158
97	0.2026358787
98	0.2025981999
99	0.2025926225
100	0.2025118253
101	0.2025030253
102	0.2024765015
103	0.2024690511
104	0.202458268
105	0.202455679
106	0.2023962
107	0.2023821394
108	0.2023782007
109	0.2023587279
110	0.2022669823
111	0.202265674
112	0.2022598487
113	0.2022267008
114	0.2022188097
115	0.2022174877
116	0.2022122545
117	0.2021959215
118	0.2021911704
119	0.2021864192
120	0.2021844912
121	0.2021223268
122	0.2021105935
123	0.2021092852
124	0.2020211753
125	0.2020165344
126	0.2019678522
127	0.2019492056
128	0.2019476908
129	0.2019321152
130	0.2019310273
131	0.2019297466
132	0.2019292646
133	0.2019155619
134	0.2019150937
135	0.20189591
136	0.2018430001
137	0.2018400117
138	0.201838001
139	0.2018349438
140	0.2018251385
141	0.2018194508
142	0.20181733
143	0.2018113808
144	0.2018088881
145	0.2018063817
146	0.2018062027
147	0.2018039993
148	0.2017962459
149	0.2017716501
150	0.2017537747
151	0.201753513
152	0.2017496708
153	0.2017441209
154	0.2017395763
155	0.2017367394
156	0.2017358029
157	0.2017336133
158	0.2017316853
159	0.2017297848
160	0.2017286142
161	0.2017284627
162	0.2017276365
163	0.2017275125
164	0.2017216321
165	0.2017193598
166	0.2017190431
167	0.201703798
168	0.2017017736
169	0.2017016772
170	0.2017016359
171	0.2016964716
172	0.2016964165
173	0.2016963339
174	0.2016962926
175	0.2016949568
176	0.201694943
177	0.201693373
178	0.2016910043
179	0.201690481
