iter	Passed	Remaining
0	18	18774
1	33	16708
2	47	15942
3	63	15818
4	78	15592
5	92	15390
6	107	15312
7	123	15363
8	138	15250
9	153	15164
10	167	15047
11	182	15024
12	196	14948
13	210	14850
14	225	14790
15	239	14710
16	253	14651
17	268	14668
18	284	14702
19	299	14657
20	313	14615
21	328	14584
22	343	14575
23	358	14566
24	375	14639
25	389	14592
26	405	14605
27	421	14646
28	436	14609
29	450	14550
30	463	14490
31	478	14465
32	491	14413
33	506	14384
34	520	14345
35	533	14286
36	547	14238
37	561	14226
38	583	14372
39	598	14352
40	613	14350
41	629	14359
42	644	14337
43	660	14357
44	675	14340
45	692	14360
46	709	14384
47	724	14361
48	738	14333
49	752	14294
50	765	14248
51	778	14201
52	793	14180
53	807	14152
54	822	14125
55	836	14108
56	851	14080
57	864	14045
58	878	14008
59	894	14018
60	909	13997
61	923	13969
62	936	13925
63	955	13968
64	973	14010
65	988	13982
66	1001	13945
67	1016	13926
68	1033	13939
69	1047	13922
70	1065	13941
71	1080	13924
72	1095	13907
73	1113	13938
74	1130	13938
75	1145	13921
76	1159	13904
77	1173	13871
78	1193	13915
79	1212	13946
80	1226	13915
81	1240	13886
82	1254	13859
83	1272	13871
84	1287	13854
85	1302	13846
86	1319	13851
87	1338	13867
88	1352	13843
89	1369	13847
90	1383	13818
91	1397	13796
92	1415	13807
93	1429	13775
94	1445	13771
95	1459	13746
96	1473	13721
97	1489	13706
98	1510	13749
99	1524	13722
100	1538	13695
101	1555	13695
102	1574	13712
103	1592	13718
104	1607	13700
105	1624	13700
106	1641	13699
107	1656	13680
108	1670	13655
109	1687	13655
110	1705	13658
111	1718	13627
112	1736	13631
113	1753	13627
114	1769	13620
115	1783	13591
116	1801	13597
117	1816	13577
118	1834	13582
119	1852	13587
120	1872	13606
121	1887	13581
122	1908	13607
123	1925	13604
124	1942	13599
125	1960	13595
126	1973	13566
127	1991	13564
128	2008	13561
129	2025	13558
130	2045	13565
131	2060	13550
132	2075	13532
133	2089	13505
134	2104	13481
135	2124	13496
136	2139	13474
137	2156	13470
138	2174	13470
139	2192	13468
140	2205	13438
141	2228	13467
142	2246	13462
143	2260	13435
144	2280	13448
145	2298	13444
146	2312	13421
147	2330	13417
148	2348	13411
149	2362	13388
150	2380	13383
151	2396	13368
152	2414	13368
153	2432	13364
154	2447	13342
155	2467	13347
156	2484	13338
157	2505	13354
158	2522	13343
159	2542	13345
160	2556	13322
161	2570	13296
162	2585	13275
163	2601	13260
164	2614	13233
165	2632	13224
166	2651	13225
167	2668	13213
168	2685	13207
169	2700	13184
170	2716	13170
171	2730	13145
172	2744	13119
173	2759	13100
174	2773	13077
175	2791	13068
176	2805	13044
177	2822	13034
178	2839	13025
179	2857	13018
180	2871	12994
181	2892	13000
182	2907	12979
183	2926	12977
184	2943	12967
185	2960	12958
186	2975	12936
187	2989	12912
188	3004	12890
189	3019	12872
190	3035	12859
191	3055	12856
192	3072	12848
193	3089	12837
194	3105	12820
195	3120	12800
196	3137	12790
197	3152	12770
198	3168	12753
199	3182	12730
200	3200	12721
201	3218	12713
202	3235	12704
203	3249	12681
204	3263	12655
205	3280	12646
206	3297	12630
207	3311	12607
208	3328	12596
209	3343	12577
210	3357	12553
211	3375	12545
212	3389	12522
213	3406	12512
214	3425	12508
215	3441	12492
216	3455	12468
217	3469	12444
218	3483	12423
219	3498	12404
220	3512	12380
221	3526	12357
222	3543	12347
223	3557	12325
224	3575	12314
225	3592	12303
226	3607	12285
227	3622	12264
228	3637	12247
229	3652	12227
230	3667	12208
231	3685	12199
232	3698	12175
233	3716	12165
234	3730	12144
235	3747	12130
236	3764	12118
237	3777	12094
238	3790	12069
239	3803	12045
240	3818	12026
241	3832	12005
242	3849	11993
243	3864	11972
244	3880	11959
245	3896	11944
246	3910	11920
247	3927	11908
248	3942	11889
249	3956	11869
250	3973	11858
251	3987	11836
252	4005	11827
253	4023	11818
254	4039	11800
255	4056	11789
256	4070	11769
257	4084	11747
258	4098	11724
259	4112	11704
260	4130	11693
261	4147	11683
262	4161	11661
263	4179	11651
264	4196	11639
265	4210	11618
266	4227	11605
267	4242	11589
268	4256	11568
269	4270	11546
270	4287	11534
271	4305	11523
272	4319	11503
273	4334	11485
274	4352	11473
275	4367	11455
276	4380	11434
277	4398	11422
278	4412	11403
279	4426	11381
280	4443	11369
281	4457	11350
282	4471	11329
283	4485	11309
284	4504	11301
285	4520	11284
286	4535	11268
287	4552	11255
288	4565	11233
289	4580	11213
290	4597	11202
291	4611	11182
292	4626	11162
293	4640	11142
294	4654	11123
295	4673	11114
296	4686	11092
297	4699	11070
298	4713	11051
299	4728	11033
300	4742	11014
301	4757	10994
302	4771	10975
303	4785	10956
304	4800	10938
305	4813	10916
306	4825	10893
307	4843	10881
308	4857	10861
309	4870	10841
310	4887	10828
311	4902	10809
312	4919	10798
313	4934	10780
314	4950	10764
315	4963	10742
316	4980	10731
317	4994	10712
318	5008	10691
319	5021	10669
320	5035	10650
321	5049	10631
322	5062	10611
323	5079	10598
324	5093	10579
325	5110	10565
326	5124	10546
327	5141	10534
328	5155	10514
329	5168	10494
330	5186	10482
331	5200	10463
332	5221	10459
333	5236	10441
334	5250	10422
335	5272	10418
336	5284	10397
337	5302	10386
338	5318	10370
339	5336	10358
340	5349	10337
341	5366	10325
342	5392	10328
343	5407	10311
344	5420	10290
345	5434	10273
346	5449	10255
347	5467	10243
348	5481	10224
349	5495	10206
350	5512	10193
351	5531	10182
352	5545	10164
353	5559	10144
354	5576	10132
355	5591	10115
356	5605	10095
357	5624	10085
358	5641	10073
359	5658	10060
360	5676	10047
361	5690	10029
362	5708	10016
363	5723	9999
364	5736	9979
365	5754	9968
366	5784	9976
367	5801	9963
368	5815	9944
369	5828	9924
370	5848	9915
371	5862	9897
372	5880	9884
373	5893	9865
374	5907	9845
375	5922	9828
376	5939	9815
377	5954	9798
378	5968	9780
379	5984	9763
380	5999	9747
381	6013	9727
382	6026	9708
383	6041	9691
384	6054	9671
385	6072	9658
386	6086	9640
387	6099	9621
388	6114	9603
389	6130	9588
390	6144	9570
391	6159	9552
392	6175	9538
393	6191	9523
394	6209	9510
395	6223	9493
396	6239	9477
397	6257	9465
398	6272	9447
399	6285	9428
400	6300	9411
401	6315	9395
402	6330	9377
403	6344	9359
404	6359	9343
405	6374	9325
406	6388	9308
407	6403	9291
408	6416	9272
409	6434	9259
410	6452	9247
411	6467	9230
412	6484	9215
413	6502	9204
414	6517	9186
415	6531	9169
416	6545	9151
417	6560	9134
418	6577	9120
419	6592	9104
420	6606	9086
421	6620	9068
422	6634	9049
423	6652	9037
424	6666	9019
425	6684	9006
426	6698	8988
427	6712	8971
428	6726	8952
429	6740	8935
430	6754	8917
431	6769	8900
432	6785	8885
433	6800	8868
434	6819	8857
435	6834	8840
436	6848	8822
437	6861	8804
438	6874	8785
439	6888	8767
440	6902	8749
441	6916	8732
442	6930	8714
443	6944	8696
444	6958	8678
445	6971	8659
446	6986	8643
447	7001	8626
448	7015	8609
449	7029	8592
450	7043	8574
451	7058	8557
452	7072	8539
453	7085	8521
454	7100	8504
455	7113	8486
456	7128	8469
457	7145	8456
458	7166	8446
459	7181	8430
460	7200	8418
461	7214	8400
462	7227	8382
463	7241	8365
464	7254	8346
465	7267	8328
466	7282	8312
467	7296	8294
468	7314	8281
469	7330	8266
470	7346	8251
471	7360	8234
472	7375	8217
473	7393	8204
474	7408	8188
475	7424	8173
476	7442	8160
477	7457	8143
478	7477	8133
479	7494	8118
480	7508	8101
481	7521	8083
482	7536	8067
483	7550	8049
484	7565	8033
485	7580	8017
486	7595	8001
487	7614	7988
488	7628	7971
489	7641	7953
490	7656	7936
491	7674	7924
492	7688	7907
493	7703	7890
494	7718	7874
495	7736	7861
496	7751	7844
497	7765	7828
498	7783	7815
499	7801	7801
500	7819	7788
501	7833	7770
502	7851	7757
503	7869	7744
504	7887	7731
505	7905	7717
